String,Weight,Type,Importance
IZIX,2,XZ,0.6654824020162672
YZYX,4,XYYZ,0.6617315917338865
IZIZ,2,ZZ,0.6608648701427007
XXZI,3,XXZ,0.660499055435702
YIYX,3,XYY,0.6480683058340384
IZZI,2,ZZ,0.6032718774275344
YYXI,3,XYY,0.5791951474453025
IIZZ,2,ZZ,0.572370782998052
ZIIX,2,XZ,0.5398452627673783
IZYY,3,YYZ,0.5353084103575808
XXZX,4,XXXZ,0.5206154160527516
IZXX,3,XXZ,0.5177693417298062
XIZZ,3,XZZ,0.4979307369413743
XXXI,3,XXX,0.49023324937239776
ZIZZ,3,ZZZ,0.4881456259924117
IIIZ,1,Z,0.4843079574529065
IXXZ,3,XXZ,0.4788517665269992
XIXI,2,XX,0.4729716081764557
ZZII,2,ZZ,0.46120176250800665
XXIX,3,XXX,0.4530142375528435
XZXZ,4,XXZZ,0.434134123856113
YYZI,3,YYZ,0.43209337478462023
XYZY,4,XYYZ,0.4313556381373722
IXYY,3,XYY,0.43054750799169156
ZZXX,4,XXZZ,0.4282933700813074
ZIZX,3,XZZ,0.4219809100839946
YYII,2,YY,0.42086345648521845
ZIIZ,2,ZZ,0.4181843051990019
XYXY,4,XXYY,0.4048967966024534
IZZX,3,XZZ,0.4027336211997567
XZIZ,3,XZZ,0.3923951789873766
ZIYY,3,YYZ,0.38856958534197683
IXXX,3,XXX,0.3867463304188931
ZYYX,4,XYYZ,0.3809490872255042
ZYZY,4,YYZZ,0.3688137275623551
YXYX,4,XXYY,0.36214656956743
YIIY,2,YY,0.36016409292884505
IZXI,2,XZ,0.3564238010026239
YXXY,4,XXYY,0.34962523571577303
XZIX,3,XXZ,0.34862504212466455
IYYX,3,XYY,0.3427439102169784
XXIZ,3,XXZ,0.3410813537038459
YIZY,3,YYZ,0.3397943458035084
IXII,1,X,0.3382224756489071
IXZZ,3,XZZ,0.3258910626646397
XXXZ,4,XXXZ,0.3207110196203847
YZZY,4,YYZZ,0.31902632854530927
XZZX,4,XXZZ,0.31848458039909067
YZIY,3,YYZ,0.31534560786619986
YZYI,3,YYZ,0.3137128206081722
YYIX,3,XYY,0.3088464012464453
YZYZ,4,YYZZ,0.30639673021304387
ZIXI,2,XZ,0.30426788242900654
YYXZ,4,XYYZ,0.30408710723331267
ZIXZ,3,XZZ,0.30107091875734165
ZXZX,4,XXZZ,0.30018488229157664
XIIZ,2,XZ,0.29972099543490305
IYIY,2,YY,0.29588238717275
YYYY,4,YYYY,0.29201359267302957
YXIY,3,XYY,0.28213651814991675
IIXI,1,X,0.2796261509344122
ZZZX,4,XZZZ,0.2738526746040722
ZXXZ,4,XXZZ,0.2729766165869566
ZIXX,3,XXZ,0.2716785321392597
ZXZZ,4,XZZZ,0.27018273483242555
ZYXY,4,XYYZ,0.2663015796371006
IIZI,1,Z,0.25717264092666914
YXZY,4,XYYZ,0.2561473473374942
ZXII,2,XZ,0.24315556818109274
IIXX,2,XX,0.2429216287315197
YIYI,2,YY,0.24259184372209022
YYZZ,4,YYZZ,0.2383125674469535
XZII,2,XZ,0.234956727316501
IYYI,2,YY,0.23213896897582278
XYYI,3,XYY,0.2196776403787898
ZXIZ,3,XZZ,0.21803772597408314
ZZIX,3,XZZ,0.2156253182985146
IXZX,3,XXZ,0.21355423238776647
ZYYI,3,YYZ,0.21298643462015565
XZZZ,4,XZZZ,0.21294581530702195
XIXX,3,XXX,0.2115599889501051
ZZZI,3,ZZZ,0.21149592359707117
ZXXX,4,XXXZ,0.2055032246161762
ZZXI,3,XZZ,0.2048875203669398
IIXZ,2,XZ,0.2037206315135658
ZXZI,3,XZZ,0.2034541022362846
IXXI,2,XX,0.20314507102973886
XZXX,4,XXXZ,0.20133561364538888
XIXZ,3,XXZ,0.2006079575210451
IZXZ,3,XZZ,0.2005036867804519
IXIZ,2,XZ,0.199518010878038
IYZY,3,YYZ,0.19762083102780217
XXYY,4,XXYY,0.1968819271201496
ZZZZ,4,ZZZZ,0.19504278108598264
XXZZ,4,XXZZ,0.19393221683501186
XYIY,3,XYY,0.18899506972347557
YIXY,3,XYY,0.18324657150488596
ZZYY,4,YYZZ,0.18269507220297712
IZZZ,3,ZZZ,0.18045532668514488
XYYX,4,XXYY,0.17895268408409656
ZXXI,3,XXZ,0.17857161248083042
YYIZ,3,YYZ,0.17736683134991335
ZIZI,2,ZZ,0.17329789582320132
XIYY,3,XYY,0.17137745255746192
XZZI,3,XZZ,0.16858344064908723
ZIII,1,Z,0.16514614895747012
XZYY,4,XYYZ,0.16399768106739607
YYZX,4,XYYZ,0.16267453267198595
YYXX,4,XXYY,0.16246986834031327
IXIX,2,XX,0.15568260462779715
ZYYZ,4,YYZZ,0.15417444363263846
ZXYY,4,XYYZ,0.15405037836246802
XIZI,2,XZ,0.14050528164559342
IYYZ,3,YYZ,0.13780435025422552
ZYIY,3,YYZ,0.1350654700116757
ZZXZ,4,XZZZ,0.13103041876326668
ZXIX,3,XXZ,0.13088208291425554
IYXY,3,XYY,0.12527192921708585
XXII,2,XX,0.12465558233793146
IIYY,2,YY,0.12325454338171
XIZX,3,XXZ,0.12095751399323136
XXXX,4,XXXX,0.11663064197238371
IZII,1,Z,0.11491528076040038
ZZIZ,3,ZZZ,0.11300642334409344
IIZX,2,XZ,0.10018373810540643
XYYZ,4,XYYZ,0.09711086288295735
IIIX,1,X,0.09614497569188829
IXZI,2,XZ,0.09535430950365793
XIIX,2,XX,0.0939347624005444
YIYZ,3,YYZ,0.0904743935287239
XZXI,3,XXZ,0.08039597378836974
YXYZ,4,XYYZ,0.06626573879450416
YXYI,3,XYY,0.06288233052363491
XIII,1,X,0.04454228097092028
YZXY,4,XYYZ,0.040092013286145686
IIII,0,Identity,9.130782685735785e-17
XZZY,4,XYZZ,0.0
XZYI,3,XYZ,0.0
XZYX,4,XXYZ,0.0
XZYZ,4,XYZZ,0.0
XZIY,3,XYZ,0.0
XZXY,4,XXYZ,0.0
XYIX,3,XXY,0.0
XYII,2,XY,0.0
XIZY,3,XYZ,0.0
XIYI,2,XY,0.0
XXXY,4,XXXY,0.0
XXIY,3,XXY,0.0
XIIY,2,XY,0.0
XIXY,3,XXY,0.0
XIYX,3,XXY,0.0
XIYZ,3,XYZ,0.0
XYXZ,4,XXYZ,0.0
XYXX,4,XXXY,0.0
XYXI,3,XXY,0.0
XYIZ,3,XYZ,0.0
XYYY,4,XYYY,0.0
XYZI,3,XYZ,0.0
XYZX,4,XXYZ,0.0
XYZZ,4,XYZZ,0.0
IYZZ,3,YZZ,0.0
IYZX,3,XYZ,0.0
IYZI,2,YZ,0.0
IYYY,3,YYY,0.0
IXZY,3,XYZ,0.0
IXYI,2,XY,0.0
IXYX,3,XXY,0.0
IXYZ,3,XYZ,0.0
IIYZ,2,YZ,0.0
IIYX,2,XY,0.0
IIXY,2,XY,0.0
IIIY,1,Y,0.0
IXIY,2,XY,0.0
IXXY,3,XXY,0.0
IIYI,1,Y,0.0
IIZY,2,YZ,0.0
IYII,1,Y,0.0
IYIX,2,XY,0.0
IZXY,3,XYZ,0.0
IZIY,2,YZ,0.0
IYIZ,2,YZ,0.0
IYXI,2,XY,0.0
IYXX,3,XXY,0.0
IYXZ,3,XYZ,0.0
XXYZ,4,XXYZ,0.0
XXYX,4,XXXY,0.0
XXYI,3,XXY,0.0
XXZY,4,XXYZ,0.0
IZYZ,3,YZZ,0.0
IZYX,3,XYZ,0.0
IZYI,2,YZ,0.0
IZZY,3,YZZ,0.0
YZZZ,4,YZZZ,0.0
YZZX,4,XYZZ,0.0
YZZI,3,YZZ,0.0
YZYY,4,YYYZ,0.0
YZIZ,3,YZZ,0.0
YZXI,3,XYZ,0.0
YZXX,4,XXYZ,0.0
YZXZ,4,XYZZ,0.0
YZII,2,YZ,0.0
YZIX,3,XYZ,0.0
YYXY,4,XYYY,0.0
YYIY,3,YYY,0.0
YYYZ,4,YYYZ,0.0
YYYX,4,XYYY,0.0
YYYI,3,YYY,0.0
YYZY,4,YYYZ,0.0
YIZZ,3,YZZ,0.0
YIZX,3,XYZ,0.0
YIZI,2,YZ,0.0
YIYY,3,YYY,0.0
YIIZ,2,YZ,0.0
YIXI,2,XY,0.0
YXIX,3,XXY,0.0
YXII,2,XY,0.0
YXXZ,4,XXYZ,0.0
YXXX,4,XXXY,0.0
YXXI,3,XXY,0.0
YXIZ,3,XYZ,0.0
YXYY,4,XYYY,0.0
YXZI,3,XYZ,0.0
YXZX,4,XXYZ,0.0
YXZZ,4,XYZZ,0.0
YIII,1,Y,0.0
YIIX,2,XY,0.0
YIXX,3,XXY,0.0
YIXZ,3,XYZ,0.0
ZXZY,4,XYZZ,0.0
ZXYI,3,XYZ,0.0
ZXYX,4,XXYZ,0.0
ZXYZ,4,XYZZ,0.0
ZIYZ,3,YZZ,0.0
ZIYX,3,XYZ,0.0
ZIXY,3,XYZ,0.0
ZIIY,2,YZ,0.0
ZXIY,3,XYZ,0.0
ZXXY,4,XXYZ,0.0
ZIYI,2,YZ,0.0
ZIZY,3,YZZ,0.0
ZYZZ,4,YZZZ,0.0
ZYZX,4,XYZZ,0.0
ZYZI,3,YZZ,0.0
ZYYY,4,YYYZ,0.0
ZYIZ,3,YZZ,0.0
ZYXI,3,XYZ,0.0
ZYXX,4,XXYZ,0.0
ZYXZ,4,XYZZ,0.0
ZYII,2,YZ,0.0
ZYIX,3,XYZ,0.0
ZZXY,4,XYZZ,0.0
ZZIY,3,YZZ,0.0
ZZYZ,4,YZZZ,0.0
ZZYX,4,XYZZ,0.0
ZZYI,3,YZZ,0.0
ZZZY,4,YZZZ,0.0
